DHBCH,concat
8,2017Apr10
6,2017Apr1
10,2017Apr14
8,2017Apr15
3,2017Apr21
2,2017Apr29
1,2017Apr4
2,2017Apr8
14,2017Apr9
15,2017Dec10
13,2017Dec1
16,2017Dec11
15,2017Dec12
15,2017Dec13
16,2017Dec14
15,2017Dec15
15,2017Dec16
17,2017Dec17
16,2017Dec18
15,2017Dec19
14,2017Dec20
15,2017Dec2
21,2017Dec21
20,2017Dec22
18,2017Dec23
15,2017Dec24
17,2017Dec25
16,2017Dec26
16,2017Dec27
15,2017Dec28
15,2017Dec29
15,2017Dec30
11,2017Dec3
15,2017Dec31
17,2017Dec4
17,2017Dec5
18,2017Dec6
15,2017Dec7
15,2017Dec8
15,2017Dec9
13,2017Feb1
9,2017Feb11
10,2017Feb12
13,2017Feb13
7,2017Feb14
9,2017Feb15
1,2017Feb18
9,2017Feb19
1,2017Feb2
6,2017Feb22
18,2017Feb23
18,2017Feb24
17,2017Feb25
16,2017Feb26
13,2017Feb27
15,2017Feb28
6,2017Feb4
10,2017Feb5
24,2017Jan1
2,2017Jan11
11,2017Jan12
24,2017Jan13
24,2017Jan14
24,2017Jan15
24,2017Jan16
20,2017Jan17
15,2017Jan18
15,2017Jan19
15,2017Jan20
24,2017Jan2
18,2017Jan21
12,2017Jan22
20,2017Jan23
21,2017Jan24
22,2017Jan25
19,2017Jan26
18,2017Jan27
17,2017Jan28
15,2017Jan29
15,2017Jan30
18,2017Jan3
14,2017Jan31
8,2017Jan4
3,2017Jan5
22,2017Jan6
18,2017Jan7
13,2017Mar1
2,2017Mar11
11,2017Mar2
2,2017Mar22
10,2017Mar23
4,2017Mar24
6,2017Mar26
1,2017Mar27
8,2017Mar28
3,2017Mar29
10,2017Mar3
8,2017Mar31
10,2017Mar4
12,2017Mar5
19,2017Mar6
15,2017Mar7
11,2017Mar8
8,2017Mar9
3,2017May13
4,2017May14
1,2017May15
5,2017May7
5,2017Nov1
6,2017Nov11
6,2017Nov12
10,2017Nov13
2,2017Nov14
1,2017Nov15
11,2017Nov18
12,2017Nov19
6,2017Nov20
3,2017Nov2
4,2017Nov22
5,2017Nov23
2,2017Nov27
14,2017Nov28
13,2017Nov29
15,2017Nov30
10,2017Nov6
11,2017Nov7
10,2017Nov8
4,2017Oct12
6,2017Oct13
5,2017Oct14
3,2017Oct15
1,2017Oct19
6,2017Oct21
5,2017Oct22
1,2017Oct31
