DHBCH,concat
6,2019Apr10
3,2019Apr11
6,2019Apr12
4,2019Apr21
2,2019Apr3
17,2019Dec10
22,2019Dec1
17,2019Dec11
11,2019Dec12
8,2019Dec13
15,2019Dec15
17,2019Dec16
17,2019Dec17
16,2019Dec18
16,2019Dec19
15,2019Dec20
2,2019Dec2
12,2019Dec21
15,2019Dec23
19,2019Dec24
17,2019Dec25
14,2019Dec26
20,2019Dec27
17,2019Dec28
18,2019Dec29
21,2019Dec30
7,2019Dec3
19,2019Dec31
2,2019Dec4
7,2019Dec5
9,2019Dec6
12,2019Dec9
20,2019Feb10
5,2019Feb1
22,2019Feb11
17,2019Feb12
6,2019Feb13
13,2019Feb15
23,2019Feb16
24,2019Feb17
24,2019Feb18
22,2019Feb19
18,2019Feb20
22,2019Feb21
21,2019Feb22
17,2019Feb23
14,2019Feb24
8,2019Feb25
5,2019Feb3
2,2019Feb4
23,2019Feb5
22,2019Feb6
18,2019Feb7
17,2019Feb8
14,2019Feb9
6,2019Jan10
23,2019Jan1
15,2019Jan11
6,2019Jan12
12,2019Jan13
11,2019Jan14
14,2019Jan15
12,2019Jan19
9,2019Jan20
21,2019Jan2
12,2019Jan21
16,2019Jan22
17,2019Jan23
14,2019Jan24
13,2019Jan25
12,2019Jan26
11,2019Jan27
11,2019Jan28
5,2019Jan29
7,2019Jan30
18,2019Jan3
18,2019Jan4
15,2019Jan5
19,2019Jan6
7,2019Jan7
14,2019Mar10
5,2019Mar1
11,2019Mar11
9,2019Mar12
12,2019Mar13
11,2019Mar14
10,2019Mar15
8,2019Mar16
5,2019Mar17
7,2019Mar21
7,2019Mar22
8,2019Mar24
7,2019Mar25
5,2019Mar29
7,2019Mar30
3,2019Mar31
5,2019Mar7
13,2019Mar8
14,2019Mar9
4,2019May20
6,2019May27
4,2019Nov10
10,2019Nov1
1,2019Nov11
2,2019Nov12
2,2019Nov13
2,2019Nov15
6,2019Nov16
4,2019Nov17
4,2019Nov18
5,2019Nov19
7,2019Nov20
10,2019Nov2
5,2019Nov21
9,2019Nov22
9,2019Nov23
10,2019Nov24
10,2019Nov25
14,2019Nov26
14,2019Nov27
24,2019Nov28
22,2019Nov29
22,2019Nov30
9,2019Nov3
6,2019Nov4
5,2019Nov5
3,2019Nov6
3,2019Nov7
3,2019Nov8
5,2019Nov9
3,2019Oct10
3,2019Oct1
1,2019Oct14
1,2019Oct18
2,2019Oct19
1,2019Oct2
6,2019Oct28
8,2019Oct29
8,2019Oct30
8,2019Oct31
