DHBCH,concat
1,2017Apr10
1,2017Apr1
3,2017Apr2
9,2017Apr7
13,2017Apr8
10,2017Apr9
24,2017Dec10
7,2017Dec1
20,2017Dec11
23,2017Dec12
24,2017Dec13
18,2017Dec14
24,2017Dec15
24,2017Dec16
21,2017Dec17
17,2017Dec18
16,2017Dec19
1,2017Dec20
20,2017Dec2
16,2017Dec21
17,2017Dec22
5,2017Dec23
11,2017Dec24
24,2017Dec25
24,2017Dec26
24,2017Dec27
24,2017Dec28
24,2017Dec29
22,2017Dec30
15,2017Dec3
24,2017Dec31
15,2017Dec4
15,2017Dec5
11,2017Dec6
24,2017Dec7
24,2017Dec8
24,2017Dec9
24,2017Feb10
10,2017Feb1
14,2017Feb11
5,2017Feb13
15,2017Feb14
6,2017Feb15
21,2017Feb16
16,2017Feb17
10,2017Feb18
6,2017Feb19
6,2017Feb20
12,2017Feb2
6,2017Feb21
1,2017Feb22
3,2017Feb24
12,2017Feb26
15,2017Feb27
20,2017Feb3
24,2017Feb4
19,2017Feb5
15,2017Feb6
1,2017Feb7
11,2017Feb9
24,2017Jan10
24,2017Jan1
14,2017Jan11
1,2017Jan13
16,2017Jan14
17,2017Jan15
21,2017Jan16
15,2017Jan17
12,2017Jan19
15,2017Jan20
22,2017Jan2
16,2017Jan24
13,2017Jan25
22,2017Jan27
21,2017Jan28
20,2017Jan29
24,2017Jan30
19,2017Jan3
16,2017Jan31
1,2017Jan4
24,2017Jan5
24,2017Jan6
24,2017Jan7
24,2017Jan8
24,2017Jan9
24,2017Mar11
24,2017Mar12
24,2017Mar13
21,2017Mar14
24,2017Mar15
24,2017Mar16
17,2017Mar17
13,2017Mar18
14,2017Mar19
16,2017Mar20
3,2017Mar2
18,2017Mar23
14,2017Mar24
18,2017Mar3
20,2017Mar4
22,2017Mar5
15,2017Mar6
10,2017Mar9
6,2017May7
5,2017May8
7,2017May9
16,2017Nov10
11,2017Nov1
23,2017Nov11
24,2017Nov12
17,2017Nov13
21,2017Nov14
20,2017Nov15
15,2017Nov16
17,2017Nov17
15,2017Nov18
1,2017Nov19
18,2017Nov20
16,2017Nov21
23,2017Nov23
18,2017Nov24
16,2017Nov25
11,2017Nov26
17,2017Nov27
15,2017Nov28
15,2017Nov29
14,2017Nov30
22,2017Nov8
24,2017Nov9
5,2017Oct1
8,2017Oct17
14,2017Oct18
12,2017Oct19
10,2017Oct20
4,2017Oct2
4,2017Oct21
7,2017Oct25
10,2017Oct26
14,2017Oct27
5,2017Oct28
1,2017Oct29
18,2017Oct30
1,2017Oct3
14,2017Oct31
1,2017Oct4
