accum_day,DHBFH
2016Jun28nan,0
2016Jun291,12
2016Jun29nan,0
2016Jun2nan,0
2016Jun301,12
2016Jun30nan,0
2016Jun31,12
2016Jun3nan,0
2016Jun41,12
2016Jun4nan,0
2016Jun51,12
2016Jun5nan,0
2016Jun61,12
2016Jun6nan,0
2016Jun71,8
2016Jun7nan,0
2016Jun81,6
2016Jun8nan,0
2016Jun91,7
2016Jun9nan,0
2016Mar101,4
2016Mar10nan,0
2016Mar11,2
2016Mar111,7
2016Mar11nan,0
2016Mar121,7
2016Mar12nan,0
2016Mar131,6
2016Mar13nan,0
2016Mar141,4
2016Mar14nan,0
2016Mar151,4
2016Mar15nan,0
2016Mar161,6
2016Mar16nan,0
2016Mar171,4
2016Mar17nan,0
2016Mar181,2
2016Mar18nan,0
2016Mar191,1
2016Mar19nan,0
2016Mar1nan,0
2016Mar20nan,0
2016Mar21nan,0
2016Mar221,1
2016Mar22nan,0
2016Mar231,4
2016Mar23nan,0
2016Mar241,5
2016Mar24nan,0
2016Mar251,4
2016Mar25nan,0
2016Mar261,3
2016Mar26nan,0
2016Mar271,2
2016Mar27nan,0
2016Mar281,1
2016Mar28nan,0
2016Mar29nan,0
2016Mar2nan,0
2016Mar301,3
2016Mar30nan,0
2016Mar31nan,0
2016Mar3nan,0
2016Mar4nan,0
2016Mar5nan,0
2016Mar6nan,0
2016Mar71,2
2016Mar7nan,0
2016Mar81,4
2016Mar8nan,0
2016Mar91,4
2016Mar9nan,0
2016May101,9
2016May10nan,0
2016May11,6
2016May111,8
2016May11nan,0
2016May121,10
2016May12nan,0
2016May131,9
2016May13nan,0
2016May141,6
2016May14nan,0
2016May15nan,0
2016May161,4
2016May16nan,0
2016May171,7
2016May17nan,0
2016May181,12
2016May18nan,0
2016May19nan,0
2016May1nan,0
2016May20nan,0
2016May21,12
2016May211,8
2016May21nan,0
2016May221,5
2016May22nan,0
2016May231,6
2016May23nan,0
2016May241,7
2016May24nan,0
2016May251,7
2016May25nan,0
2016May261,12
2016May26nan,0
2016May271,12
2016May27nan,0
2016May281,12
2016May28nan,0
2016May291,12
2016May29nan,0
2016May2nan,0
2016May301,8
2016May30nan,0
2016May31,12
2016May311,11
2016May31nan,0
2016May3nan,0
2016May4nan,0
2016May5nan,0
2016May6nan,0
2016May71,4
2016May7nan,0
2016May81,8
2016May8nan,0
2016May91,7
2016May9nan,0
2016Nov10nan,0
2016Nov11,5
2016Nov11nan,0
2016Nov12nan,0
2016Nov13nan,0
2016Nov14nan,0
2016Nov15nan,0
2016Nov16nan,0
2016Nov171,1
2016Nov17nan,0
2016Nov181,2
2016Nov18nan,0
2016Nov19nan,0
2016Nov1nan,0
2016Nov20nan,0
2016Nov21,3
2016Nov21nan,0
2016Nov22nan,0
2016Nov23nan,0
2016Nov241,2
2016Nov24nan,0
2016Nov251,1
2016Nov25nan,0
2016Nov26nan,0
2016Nov27nan,0
2016Nov28nan,0
2016Nov29nan,0
2016Nov2nan,0
2016Nov301,8
2016Nov30nan,0
2016Nov31,6
2016Nov3nan,0
2016Nov41,4
2016Nov4nan,0
2016Nov51,2
2016Nov5nan,0
2016Nov61,1
2016Nov6nan,0
2016Nov71,1
2016Nov7nan,0
2016Nov81,2
2016Nov8nan,0
2016Nov9nan,0
2016Oct101,2
2016Oct10nan,0
2016Oct11,4
2016Oct111,2
2016Oct11nan,0
2016Oct121,2
2016Oct12nan,0
2016Oct131,5
2016Oct13nan,0
2016Oct141,3
2016Oct14nan,0
2016Oct151,4
2016Oct15nan,0
2016Oct161,6
2016Oct16nan,0
2016Oct171,4
2016Oct17nan,0
2016Oct181,4
2016Oct18nan,0
2016Oct191,6
2016Oct19nan,0
2016Oct1nan,0
2016Oct201,5
2016Oct20nan,0
2016Oct21,5
2016Oct211,4
2016Oct21nan,0
2016Oct22nan,0
2016Oct231,1
2016Oct23nan,0
2016Oct241,4
2016Oct24nan,0
2016Oct251,2
2016Oct25nan,0
2016Oct261,2
2016Oct26nan,0
2016Oct271,3
2016Oct27nan,0
2016Oct281,7
2016Oct28nan,0
2016Oct291,3
2016Oct29nan,0
2016Oct2nan,0
2016Oct301,9
2016Oct30nan,0
2016Oct31,5
2016Oct311,9
2016Oct31nan,0
2016Oct3nan,0
2016Oct41,6
2016Oct4nan,0
2016Oct51,5
2016Oct5nan,0
2016Oct61,4
2016Oct6nan,0
2016Oct71,10
2016Oct7nan,0
2016Oct81,9
2016Oct8nan,0
2016Oct91,2
2016Oct9nan,0
2016Sep101,10
2016Sep10nan,0
2016Sep11,11
2016Sep111,10
2016Sep11nan,0
2016Sep121,8
2016Sep12nan,0
2016Sep131,10
2016Sep13nan,0
2016Sep141,9
2016Sep14nan,0
2016Sep151,10
2016Sep15nan,0
2016Sep161,10
2016Sep16nan,0
2016Sep171,10
2016Sep17nan,0
2016Sep181,10
2016Sep18nan,0
2016Sep191,10
2016Sep19nan,0
2016Sep1nan,0
2016Sep201,9
2016Sep20nan,0
2016Sep21,11
2016Sep211,7
2016Sep21nan,0
2016Sep221,10
2016Sep22nan,0
2016Sep231,10
2016Sep23nan,0
2016Sep241,6
2016Sep24nan,0
2016Sep251,7
2016Sep25nan,0
2016Sep261,10
2016Sep26nan,0
2016Sep271,10
2016Sep27nan,0
2016Sep281,7
2016Sep28nan,0
2016Sep291,6
2016Sep29nan,0
2016Sep2nan,0
2016Sep301,7
2016Sep30nan,0
2016Sep31,5
2016Sep3nan,0
2016Sep41,6
2016Sep4nan,0
2016Sep51,5
2016Sep5nan,0
2016Sep61,7
2016Sep6nan,0
2016Sep71,10
2016Sep7nan,0
2016Sep81,10
2016Sep8nan,0
2016Sep91,10
2016Sep9nan,0
