accum_day,DHBFH
2017Jun211,13
2017Jun21nan,0
2017Jun221,13
2017Jun22nan,0
2017Jun231,13
2017Jun23nan,0
2017Jun241,13
2017Jun24nan,0
2017Jun251,13
2017Jun25nan,0
2017Jun261,13
2017Jun26nan,0
2017Jun271,13
2017Jun27nan,0
2017Jun281,13
2017Jun28nan,0
2017Jun291,13
2017Jun29nan,0
2017Jun2nan,0
2017Jun301,13
2017Jun30nan,0
2017Jun31,13
2017Jun3nan,0
2017Jun41,13
2017Jun4nan,0
2017Jun51,13
2017Jun5nan,0
2017Jun61,13
2017Jun6nan,0
2017Jun71,13
2017Jun7nan,0
2017Jun81,13
2017Jun8nan,0
2017Jun91,13
2017Jun9nan,0
2017Mar101,2
2017Mar10nan,0
2017Mar111,3
2017Mar11nan,0
2017Mar121,5
2017Mar12nan,0
2017Mar131,6
2017Mar13nan,0
2017Mar141,8
2017Mar14nan,0
2017Mar151,10
2017Mar15nan,0
2017Mar161,7
2017Mar16nan,0
2017Mar171,7
2017Mar17nan,0
2017Mar181,10
2017Mar18nan,0
2017Mar191,7
2017Mar19nan,0
2017Mar1nan,0
2017Mar201,10
2017Mar20nan,0
2017Mar211,11
2017Mar21nan,0
2017Mar221,6
2017Mar22nan,0
2017Mar23nan,0
2017Mar241,2
2017Mar24nan,0
2017Mar251,2
2017Mar25nan,0
2017Mar261,2
2017Mar26nan,0
2017Mar271,3
2017Mar27nan,0
2017Mar281,2
2017Mar28nan,0
2017Mar291,3
2017Mar29nan,0
2017Mar2nan,0
2017Mar301,11
2017Mar30nan,0
2017Mar31nan,0
2017Mar3nan,0
2017Mar4nan,0
2017Mar5nan,0
2017Mar6nan,0
2017Mar7nan,0
2017Mar8nan,0
2017Mar91,1
2017Mar9nan,0
2017May101,12
2017May10nan,0
2017May11,11
2017May111,12
2017May11nan,0
2017May121,12
2017May12nan,0
2017May131,5
2017May13nan,0
2017May141,5
2017May14nan,0
2017May151,5
2017May15nan,0
2017May161,8
2017May16nan,0
2017May171,10
2017May17nan,0
2017May181,10
2017May18nan,0
2017May191,13
2017May19nan,0
2017May1nan,0
2017May201,13
2017May20nan,0
2017May21,11
2017May211,13
2017May21nan,0
2017May221,13
2017May22nan,0
2017May231,13
2017May23nan,0
2017May241,13
2017May24nan,0
2017May251,13
2017May25nan,0
2017May261,13
2017May26nan,0
2017May271,13
2017May27nan,0
2017May281,13
2017May28nan,0
2017May291,13
2017May29nan,0
2017May2nan,0
2017May301,13
2017May30nan,0
2017May31,11
2017May311,13
2017May31nan,0
2017May3nan,0
2017May41,11
2017May4nan,0
2017May51,12
2017May5nan,0
2017May61,6
2017May6nan,0
2017May71,4
2017May7nan,0
2017May81,12
2017May8nan,0
2017May91,12
2017May9nan,0
2017Nov101,7
2017Nov10nan,0
2017Nov11,1
2017Nov11nan,0
2017Nov12nan,0
2017Nov13nan,0
2017Nov14nan,0
2017Nov15nan,0
2017Nov161,8
2017Nov16nan,0
2017Nov171,7
2017Nov17nan,0
2017Nov18nan,0
2017Nov19nan,0
2017Nov1nan,0
2017Nov20nan,0
2017Nov21,2
2017Nov211,1
2017Nov21nan,0
2017Nov22nan,0
2017Nov231,1
2017Nov23nan,0
2017Nov241,3
2017Nov24nan,0
2017Nov251,1
2017Nov25nan,0
2017Nov261,5
2017Nov26nan,0
2017Nov271,5
2017Nov27nan,0
