accum_day,DHBFH
2018Jun281,14
2018Jun28nan,0
2018Jun291,14
2018Jun29nan,0
2018Jun2nan,0
2018Jun301,14
2018Jun30nan,0
2018Jun31,13
2018Jun3nan,0
2018Jun41,13
2018Jun4nan,0
2018Jun51,13
2018Jun5nan,0
2018Jun61,13
2018Jun6nan,0
2018Jun71,13
2018Jun7nan,0
2018Jun81,13
2018Jun8nan,0
2018Jun91,13
2018Jun9nan,0
2018Mar10nan,0
2018Mar111,1
2018Mar11nan,0
2018Mar121,1
2018Mar12nan,0
2018Mar131,2
2018Mar13nan,0
2018Mar141,10
2018Mar14nan,0
2018Mar15nan,0
2018Mar16nan,0
2018Mar17nan,0
2018Mar18nan,0
2018Mar19nan,0
2018Mar1nan,0
2018Mar20nan,0
2018Mar211,2
2018Mar21nan,0
2018Mar221,10
2018Mar22nan,0
2018Mar23nan,0
2018Mar241,2
2018Mar24nan,0
2018Mar25nan,0
2018Mar26nan,0
2018Mar27nan,0
2018Mar281,1
2018Mar28nan,0
2018Mar291,1
2018Mar29nan,0
2018Mar2nan,0
2018Mar301,2
2018Mar30nan,0
2018Mar311,4
2018Mar31nan,0
2018Mar3nan,0
2018Mar4nan,0
2018Mar5nan,0
2018Mar6nan,0
2018Mar7nan,0
2018Mar8nan,0
2018Mar9nan,0
2018May101,12
2018May10nan,0
2018May11,2
2018May111,9
2018May11nan,0
2018May12nan,0
2018May131,3
2018May13nan,0
2018May141,5
2018May14nan,0
2018May151,5
2018May15nan,0
2018May161,7
2018May16nan,0
2018May171,12
2018May17nan,0
2018May181,12
2018May18nan,0
2018May191,10
2018May19nan,0
2018May1nan,0
2018May201,12
2018May20nan,0
2018May21,3
2018May211,11
2018May21nan,0
2018May221,12
2018May22nan,0
2018May231,12
2018May23nan,0
2018May241,12
2018May24nan,0
2018May251,12
2018May25nan,0
2018May261,12
2018May26nan,0
2018May271,12
2018May27nan,0
2018May281,9
2018May28nan,0
2018May291,13
2018May29nan,0
2018May2nan,0
2018May301,13
2018May30nan,0
2018May31,4
2018May311,13
2018May31nan,0
2018May3nan,0
2018May41,5
2018May4nan,0
2018May51,12
2018May5nan,0
2018May61,12
2018May6nan,0
2018May71,12
2018May7nan,0
2018May81,12
2018May8nan,0
2018May91,12
2018May9nan,0
2018Nov10nan,0
2018Nov11nan,0
2018Nov12nan,0
2018Nov13nan,0
2018Nov14nan,0
2018Nov15nan,0
2018Nov16nan,0
2018Nov17nan,0
2018Nov18nan,0
2018Nov19nan,0
2018Nov1nan,0
2018Nov20nan,0
2018Nov21nan,0
2018Nov22nan,0
2018Nov23nan,0
2018Nov24nan,0
2018Nov25nan,0
2018Nov26nan,0
2018Nov27nan,0
2018Nov28nan,0
2018Nov29nan,0
2018Nov2nan,0
2018Nov30nan,0
2018Nov3nan,0
2018Nov4nan,0
2018Nov5nan,0
2018Nov6nan,0
2018Nov7nan,0
2018Nov8nan,0
2018Nov9nan,0
2018Oct10nan,0
2018Oct11,4
2018Oct11nan,0
2018Oct12nan,0
2018Oct13nan,0
2018Oct14nan,0
2018Oct15nan,0
2018Oct16nan,0
2018Oct171,1
2018Oct17nan,0
2018Oct18nan,0
2018Oct19nan,0
2018Oct1nan,0
2018Oct201,1
2018Oct20nan,0
2018Oct21,10
2018Oct211,2
2018Oct21nan,0
2018Oct221,2
2018Oct22nan,0
2018Oct231,2
2018Oct23nan,0
2018Oct241,1
2018Oct24nan,0
2018Oct251,1
2018Oct25nan,0
2018Oct26nan,0
2018Oct271,2
2018Oct27nan,0
2018Oct281,3
2018Oct28nan,0
2018Oct291,9
2018Oct29nan,0
2018Oct2nan,0
2018Oct30nan,0
2018Oct31,10
2018Oct31nan,0
2018Oct3nan,0
2018Oct41,10
2018Oct4nan,0
2018Oct5nan,0
2018Oct61,1
2018Oct6nan,0
2018Oct7nan,0
2018Oct8nan,0
2018Oct9nan,0
2018Sep101,10
2018Sep10nan,0
2018Sep11,11
2018Sep111,10
2018Sep11nan,0
2018Sep121,10
2018Sep12nan,0
2018Sep131,9
2018Sep13nan,0
2018Sep141,7
2018Sep14nan,0
